tr,sigma,phi
-0.686924,0.0186073,0
-0.653042,0.0242151,0
-0.638392,0.0232272,0
-0.669573,0.0236026,0
-0.638174,0.0233816,0
-0.649979,0.0213535,0
-0.641428,0.0165463,0
-0.660426,0.0171293,0
-0.655093,0.0228525,0
-0.661032,0.0222955,0
-0.600795,0.017911,0
-0.658342,0.0202866,0
-0.652511,0.0263588,0
-0.657809,0.0248813,0
-0.646895,0.0208115,0
-0.676307,0.0158451,0
-0.681543,0.0218096,0
-0.661047,0.0220612,0
-0.660743,0.0261442,0
-0.674234,0.0176096,0
-0.614411,0.020939,0
-0.662446,0.0247652,0
-0.625571,0.0217116,0
-0.619211,0.0239156,0
-0.676981,0.0275665,0
-0.662587,0.0214339,0
-0.648748,0.0199403,0
-0.65428,0.0203034,0
-0.663587,0.0261874,0
-0.633498,0.0199698,0
-0.622548,0.0193632,0
-0.652729,0.0275034,0
-0.651266,0.0217241,0
-0.635109,0.0189599,0
-0.622178,0.0275602,0
-0.669869,0.0205718,0
-0.656128,0.0168956,0
-0.658325,0.0196154,0
-0.656069,0.0261191,0
-0.621483,0.0260757,0
-0.642339,0.0169121,0
-0.670536,0.0202653,0
-0.665805,0.0226952,0
-0.649008,0.0231994,0
-0.649189,0.0215356,0
-0.656554,0.0183638,0
-0.659602,0.0209366,0
-0.62414,0.0222312,0
-0.653692,0.0246892,0
-0.649427,0.0166568,0
-0.662382,0.0240387,0
-0.659101,0.0263757,0
-0.660995,0.0233885,0
-0.662289,0.0219763,0
-0.651059,0.021196,0
-0.63964,0.0172095,0
-0.66985,0.0171358,0
-0.635709,0.0219207,0
-0.649288,0.0198102,0
-0.645295,0.0162025,0
-0.659339,0.0191046,0
-0.660424,0.0240704,0
-0.672053,0.0278969,0
-0.673767,0.0203461,0
-0.66319,0.0217551,0
-0.655448,0.0260472,0
-0.643787,0.0250073,0
-0.685117,0.0168512,0
-0.654884,0.020484,0
-0.652865,0.0218736,0
-0.647577,0.0184812,0
-0.661509,0.0280741,0
-0.682479,0.0234301,0
-0.639835,0.0236087,0
-0.658116,0.0208744,0
-0.677516,0.0224195,0
-0.657152,0.0198966,0
-0.646534,0.0178653,0
-0.651783,0.0142696,0
-0.628569,0.0220228,0
-0.665659,0.0293783,0
-0.681117,0.0278069,0
-0.657105,0.0210786,0
-0.640926,0.0243961,0
-0.637322,0.0190926,0
-0.64996,0.0211161,0
-0.663921,0.0214334,0
-0.642076,0.0245283,0
-0.669031,0.0175757,0
-0.663514,0.0188697,0
-0.64437,0.0233406,0
-0.658349,0.0254142,0
-0.649828,0.025323,0
-0.639401,0.0218782,0
-0.648711,0.0207816,0
-0.640096,0.0188428,0
-0.650931,0.0223457,0
-0.670855,0.0169153,0
-0.666677,0.0257508,0
-0.647699,0.0237799,0
-0.664181,0.019914,0
-0.661804,0.0212708,0
-0.668507,0.022573,0
-0.630616,0.0278205,0
-0.653335,0.0186457,0
-0.662216,0.0256177,0
-0.671537,0.0253616,0
-0.652343,0.0204092,0
-0.651948,0.0195167,0
-0.663147,0.0227832,0
-0.641267,0.0192744,0
-0.667264,0.0190039,0
-0.658042,0.0228453,0
-0.634217,0.0192858,0
-0.639892,0.0219627,0
-0.646907,0.0241645,0
-0.666321,0.0191099,0
-0.631905,0.0200631,0
-0.678002,0.0159603,0
-0.644219,0.0214201,0
-0.63633,0.0236116,0
-0.642756,0.0188635,0
-0.651539,0.018318,0
-0.665856,0.0193417,0
-0.646691,0.0232049,0
-0.644381,0.0244718,0
-0.701559,0.0247735,0
-0.663701,0.0209082,0
-0.677583,0.0206935,0
-0.639552,0.0200436,0
-0.653124,0.0262715,0
-0.668948,0.0240142,0
-0.67329,0.025869,0
-0.650298,0.0201812,0
-0.678777,0.0224534,0
-0.65109,0.0200405,0
-0.645803,0.0258029,0
-0.637701,0.0247554,0
-0.687443,0.0233864,0
-0.640637,0.023025,0
-0.642179,0.022471,0
-0.670127,0.0161839,0
-0.65101,0.0231625,0
-0.623682,0.0175967,0
-0.664298,0.0200905,0
-0.649808,0.0213025,0
-0.64458,0.0208369,0
-0.637071,0.0217427,0
-0.670283,0.0235243,0
-0.659055,0.0205491,0
-0.646378,0.0240274,0
-0.657644,0.020464,0
-0.668804,0.0233308,0
-0.657855,0.0149857,0
-0.663762,0.0220995,0
-0.659022,0.0248076,0
-0.644704,0.023022,0
-0.641773,0.0236909,0
-0.639918,0.0239806,0
-0.641912,0.0194253,0
-0.653706,0.0232605,0
-0.646657,0.0168263,0
-0.66463,0.021998,0
-0.650489,0.0165882,0
-0.650053,0.0263385,0
-0.647738,0.0204892,0
-0.656606,0.028707,0
-0.650469,0.0180983,0
-0.671688,0.0253474,0
-0.682174,0.0242306,0
-0.669473,0.0202622,0
-0.619908,0.0192004,0
-0.651972,0.0249173,0
-0.659984,0.0216956,0
-0.652878,0.0226192,0
-0.662085,0.0303897,0
-0.646074,0.0196348,0
-0.637498,0.0249381,0
-0.615248,0.0247315,0
-0.663568,0.0213918,0
-0.649061,0.0224241,0
-0.664833,0.026397,0
-0.662872,0.0213351,0
-0.617933,0.0196921,0
-0.647835,0.022542,0
-0.659362,0.0253548,0
-0.646358,0.0268808,0
-0.667775,0.0270222,0
-0.661657,0.0194598,0
-0.626239,0.0276817,0
-0.638055,0.0226665,0
-0.650236,0.018388,0
-0.666645,0.0223394,0
-0.683012,0.023082,0
-0.653482,0.0227535,0
-0.670121,0.0224654,0
-0.626426,0.017144,0
-0.64984,0.0209126,0
-0.64613,0.0223918,0
-0.651339,0.0280999,0
-0.644381,0.0249312,0
-0.644217,0.0215128,0
-0.664268,0.0183975,0
-0.634347,0.0220274,0
-0.633732,0.0233302,0
-0.668162,0.0262602,0
-0.621888,0.0233574,0
-0.645797,0.0241003,0
-0.650108,0.0196006,0
-0.65989,0.0211494,0
-0.622558,0.0256067,0
-0.651325,0.0234253,0
-0.662254,0.0229191,0
-0.663292,0.0203367,0
-0.670294,0.02218,0
-0.65761,0.0206836,0
-0.624224,0.0190452,0
-0.665648,0.0194485,0
-0.629013,0.0191818,0
-0.636177,0.0200633,0
-0.663062,0.0186319,0
-0.637946,0.0231535,0
-0.655962,0.0234194,0
-0.662218,0.0216821,0
-0.639091,0.0238844,0
-0.66868,0.0232485,0
-0.659649,0.0170692,0
-0.646583,0.0205115,0
-0.648562,0.0210212,0
-0.626654,0.0149311,0
-0.642772,0.0229048,0
-0.631255,0.0237768,0
-0.668202,0.0228168,0
-0.653885,0.0242446,0
-0.655313,0.0218648,0
-0.645859,0.0185632,0
-0.648076,0.0205891,0
-0.62589,0.0176359,0
-0.645466,0.0217084,0
-0.653292,0.0195254,0
-0.629252,0.021538,0
-0.638609,0.0206508,0
-0.639971,0.0232511,0
-0.654471,0.0208168,0
-0.650633,0.0226946,0
-0.642934,0.0238681,0
-0.644758,0.0218359,0
-0.655486,0.0244622,0
-0.652226,0.0214331,0
-0.651942,0.0206727,0
-0.6362,0.019596,0
-0.697628,0.0190447,0
-0.659438,0.0172425,0
-0.681198,0.0260086,0
-0.664844,0.0227635,0
-0.653461,0.0292878,0
-0.64096,0.0244424,0
-0.644802,0.0197356,0
-0.615057,0.022812,0
-0.653695,0.0256138,0
-0.646242,0.0235573,0
-0.638915,0.0201018,0
-0.66232,0.0274802,0
-0.656914,0.0220361,0
-0.654627,0.0161815,0
-0.675759,0.0238299,0
-0.637654,0.0210509,0
-0.632575,0.024188,0
-0.66212,0.0202269,0
-0.673379,0.0264005,0
-0.625421,0.0216612,0
-0.673663,0.0179018,0
-0.672082,0.023246,0
-0.631956,0.0218893,0
-0.636909,0.0218305,0
-0.602391,0.0174664,0
-0.637212,0.0240978,0
-0.619076,0.0224402,0
-0.670386,0.0198469,0
-0.677691,0.0169964,0
-0.653058,0.0195663,0
-0.62157,0.0201774,0
-0.663173,0.0256963,0
-0.64619,0.0273443,0
-0.659099,0.0220113,0
-0.692193,0.0240093,0
-0.649227,0.0234052,0
-0.664446,0.0218948,0
-0.667146,0.0269291,0
-0.638217,0.0195193,0
-0.65224,0.0206455,0
-0.651405,0.0234824,0
-0.656318,0.021778,0
-0.658137,0.0219013,0
-0.636114,0.0235027,0
-0.661558,0.0191895,0
-0.61584,0.0253765,0
-0.659605,0.019662,0
-0.65829,0.0272091,0
-0.624521,0.0209377,0
-0.665581,0.0209256,0
-0.665462,0.0173736,0
-0.622054,0.0199722,0
-0.663378,0.0204285,0
-0.665117,0.0221475,0
-0.674824,0.0178323,0
-0.649917,0.0178242,0
-0.643297,0.0155249,0
-0.672287,0.0181553,0
-0.653319,0.0175831,0
-0.650486,0.0174337,0
-0.64166,0.0167647,0
-0.650838,0.0236749,0
-0.627265,0.0185296,0
-0.670999,0.0220319,0
-0.626478,0.0197225,0
-0.65635,0.021854,0
-0.661957,0.0169502,0
-0.651949,0.0216903,0
-0.650111,0.019027,0
-0.660579,0.0261463,0
-0.644678,0.0168753,0
-0.651083,0.0185708,0
-0.653639,0.0212533,0
-0.677146,0.0224849,0
-0.654225,0.0158639,0
-0.622899,0.0186896,0
-0.676397,0.0213448,0
-0.640572,0.0215009,0
-0.633532,0.0239786,0
-0.639525,0.0246825,0
-0.644237,0.0204848,0
-0.678562,0.014738,0
-0.64221,0.0220198,0
-0.637671,0.0275222,0
-0.632042,0.0230995,0
-0.680265,0.018016,0
-0.659538,0.0207939,0
-0.654413,0.0186145,0
-0.638924,0.0203327,0
-0.647635,0.0154613,0
-0.669153,0.0194272,0
-0.648162,0.0216422,0
-0.642082,0.0258691,0
-0.630433,0.0210672,0
-0.674307,0.0217385,0
-0.672464,0.0195178,0
-0.650958,0.0205834,0
-0.662138,0.0264256,0
-0.643645,0.0175503,0
-0.670825,0.0227924,0
-0.664904,0.0198126,0
-0.634275,0.0181424,0
-0.667996,0.0228548,0
-0.651473,0.0243021,0
-0.6712,0.0245191,0
-0.664003,0.0166809,0
-0.658864,0.0217681,0
-0.642808,0.0231571,0
-0.670849,0.0243689,0
-0.663948,0.0228304,0
-0.638468,0.0242234,0
-0.666346,0.019595,0
-0.630093,0.0229377,0
-0.636663,0.0246474,0
-0.648534,0.0304627,0
-0.672928,0.0244597,0
-0.656179,0.0225911,0
-0.642215,0.0178649,0
-0.667782,0.0239769,0
-0.64956,0.0159219,0
-0.676048,0.0148633,0
-0.641022,0.0213021,0
-0.644261,0.02627,0
-0.642451,0.0220046,0
-0.663805,0.0155742,0
-0.643473,0.0162888,0
-0.648631,0.0243947,0
-0.634856,0.0197082,0
-0.613423,0.0232382,0
-0.63157,0.018847,0
-0.633902,0.0208835,0
-0.63731,0.0182884,0
-0.628959,0.0196554,0
-0.674882,0.0217475,0
-0.651184,0.0204669,0
-0.661475,0.0256313,0
-0.660945,0.0221704,0
-0.640805,0.0206106,0
-0.64488,0.0244733,0
-0.64305,0.023889,0
-0.639411,0.021853,0
-0.670497,0.0175084,0
-0.628021,0.0239761,0
-0.673539,0.0199331,0
-0.653131,0.0237053,0
-0.66697,0.0254936,0
-0.692518,0.0215655,0
-0.654658,0.0208621,0
-0.631317,0.0273371,0
-0.657584,0.0243296,0
-0.625329,0.0185375,0
-0.640409,0.0192551,0
-0.651812,0.022541,0
-0.646104,0.0231158,0
-0.633873,0.0218579,0
-0.651584,0.022668,0
-0.66349,0.0263498,0
-0.647851,0.0221004,0
-0.658289,0.017593,0
-0.63289,0.0236949,0
-0.653147,0.0250043,0
-0.643654,0.0242124,0
-0.654357,0.0236318,0
-0.640737,0.0257789,0
-0.652773,0.0259521,0
-0.666677,0.0152817,0
-0.659034,0.0202426,0
-0.651428,0.0213783,0
-0.638788,0.0206361,0
-0.674196,0.0167707,0
-0.63704,0.0249292,0
-0.660723,0.0255838,0
-0.644678,0.021911,0
-0.637714,0.0249631,0
-0.631513,0.0207501,0
-0.668229,0.0214664,0
-0.656968,0.0189732,0
-0.646987,0.0235548,0
-0.66968,0.0246016,0
-0.643449,0.0223247,0
-0.683974,0.0167714,0
-0.652454,0.0258223,0
-0.653312,0.0234256,0
-0.628933,0.0247524,0
-0.666383,0.0182989,0
-0.631323,0.0188467,0
-0.652626,0.0239214,0
-0.673529,0.020308,0
-0.669438,0.0209064,0
-0.627641,0.0201108,0
-0.663835,0.0226974,0
-0.643292,0.0192891,0
-0.658085,0.0227056,0
-0.655587,0.0256835,0
-0.69869,0.0185715,0
-0.644519,0.0233549,0
-0.646931,0.0223588,0
-0.635903,0.0260886,0
-0.617736,0.0193217,0
-0.647562,0.018018,0
-0.615493,0.0234937,0
-0.67726,0.0244169,0
-0.686262,0.0181353,0
-0.634634,0.0215373,0
-0.675853,0.0175061,0
-0.669304,0.022254,0
-0.661219,0.0264183,0
-0.674348,0.0188745,0
-0.679303,0.0235483,0
-0.63466,0.0258918,0
-0.667613,0.0228458,0
-0.650446,0.0198,0
-0.65133,0.0176884,0
-0.620739,0.0226925,0
-0.672334,0.0184855,0
-0.676564,0.0179116,0
-0.700607,0.0165176,0
-0.662129,0.0201092,0
-0.662911,0.0173901,0
-0.670325,0.0180259,0
-0.663871,0.0209811,0
-0.676464,0.022135,0
-0.658481,0.0192471,0
-0.636358,0.0219693,0
-0.674848,0.0224652,0
-0.652828,0.0197306,0
-0.668435,0.0217386,0
-0.657265,0.0172992,0
-0.659307,0.0184893,0
-0.654446,0.0296482,0
-0.649554,0.0206207,0
-0.683853,0.0209138,0
-0.64861,0.0194882,0
-0.644872,0.0244513,0
-0.664163,0.0213489,0
-0.659821,0.0226778,0
-0.644273,0.0174216,0
-0.634381,0.0210952,0
-0.679801,0.0231761,0
-0.642405,0.0193107,0
-0.658203,0.0221766,0
-0.642556,0.0270116,0
-0.654393,0.010066,0
-0.689892,0.0234974,0
-0.636243,0.0239157,0
-0.627433,0.0212346,0
-0.649065,0.0189035,0
-0.661235,0.0206321,0
-0.661795,0.0175807,0
-0.658156,0.019304,0
