tr,trp1,trp2,trp3,sigma,pi1,pi2,pi3
1.10268,0.00110241,1.62438e-247,0.000641123,-1.07657,2.20041e-06,7.17838e-248,4.63099e-05
1.08381,0.00233789,6.58074e-249,-0.00149266,-1.07466,2.50758e-06,3.03296e-249,-2.19973e-05
1.05218,0.000647182,2.75254e-250,0.000177585,-1.07563,-3.90283e-05,1.2658e-250,0.000132389
1.12797,-0.00156154,1.17244e-251,-0.000195617,-1.07616,-5.38842e-05,5.38455e-252,9.09691e-05
1.07113,0.000920056,4.83602e-253,0.000451471,-1.07548,1.67826e-06,2.26184e-253,-4.65772e-05
1.09846,-0.00142741,1.97151e-254,1.96975e-05,-1.07886,1.02506e-05,9.17436e-255,4.22977e-05
1.08623,0.000751849,8.56033e-256,-0.000921301,-1.07549,-3.37547e-05,3.9108e-256,-0.000108021
1.11323,0.00011821,3.54119e-257,-0.000470357,-1.07717,5.93746e-05,1.60969e-257,-6.87375e-05
1.07622,-0.000756817,1.56603e-258,0.00280928,-1.07825,0.000109822,6.8408e-259,-1.96882e-05
1.11095,0.000991105,6.36641e-260,0.000844367,-1.07709,2.34217e-05,2.77369e-260,-1.37916e-05
1.07559,-0.000530916,2.43078e-261,-0.00237832,-1.07709,-3.03745e-05,1.141e-261,0.000110032
1.0617,-0.00142068,9.68748e-263,0.000637507,-1.07612,0.000102665,4.82997e-263,8.39334e-05
1.11471,-0.000637601,4.43927e-264,1.79094e-05,-1.07595,7.11261e-05,2.03035e-264,2.39946e-05
1.04107,-0.000755839,1.89566e-265,-0.000156743,-1.07614,5.77081e-05,8.34287e-266,-2.18391e-05
1.08167,-0.000856433,7.41033e-267,0.00169175,-1.07403,-0.000110251,3.44926e-267,3.01816e-05
1.05691,0.000221589,2.97451e-268,-0.000699716,-1.07371,-6.12481e-07,1.38542e-268,-2.46364e-05
1.08271,-0.000149357,1.27763e-269,-0.00177799,-1.07401,6.75505e-05,5.93743e-270,0.000101478
1.0678,-0.000158815,5.19761e-271,0.00225627,-1.07751,4.44835e-05,2.45128e-271,-7.55065e-05
1.06201,-0.00301223,2.35413e-272,-0.00138471,-1.074,-4.18444e-06,1.0556e-272,2.96579e-05
1.05611,0.002584,9.57211e-274,0.000867558,-1.07678,-4.77935e-05,4.25288e-274,-4.11443e-05
1.06628,-0.00154563,3.73122e-275,0.00100471,-1.07802,2.60486e-05,1.70732e-275,-1.12128e-05
1.10046,-0.00101777,1.58916e-276,-0.000583178,-1.07982,5.19726e-05,7.26885e-277,6.55692e-07
