tr,trp1,trp2,trp3,sigma,pi1,pi2,pi3,phi
-0.702385,-0.0028463,-0.000155225,-0.00305662,0.0652575,0.125336,-0.0825879,0.0480511,0.170579
-0.690721,-0.00275352,0.00647102,-0.00163123,0.140769,0.112999,-0.266513,0.101921,0.337641
-0.661979,-0.00277833,0.00785252,-0.00143397,0.0269511,0.0892642,-0.290603,0.00575533,0.30525
-0.563211,0.00216552,0.00537856,0.00230007,0.0814116,-0.0549026,-0.184669,-0.0376054,0.212507
-0.855049,0.00336287,0.00783781,-0.00264495,0.140401,-0.111514,-0.251452,0.128145,0.33436
-0.612091,0.00490782,0.00722936,-0.00297759,0.125098,-0.137635,-0.263901,0.0884757,0.33476
-0.573409,0.00461796,0.00818388,-0.00132025,0.0642992,-0.167957,-0.283598,0.0465406,0.339025
-0.624273,0.0025215,0.00437676,-0.00371874,0.285338,-0.124714,-0.168925,0.109201,0.370719
-0.666116,-0.000619542,0.0038729,-0.00013603,0.211764,-0.021868,-0.15725,-0.0370379,0.267248
-0.57552,-0.00155595,0.00289132,0.00102,0.328796,-0.00802405,-0.165133,-0.00339468,0.368037
-0.633464,-0.00302495,0.000826165,0.00132715,0.224417,0.130587,-0.0602732,-0.079319,0.278101
-0.705391,-0.00388199,-0.00201366,0.00171479,0.187453,0.0700781,0.112831,-0.0675386,0.239461
-0.698176,-0.00461706,-0.00102877,0.00178229,0.297147,0.0566241,0.0459577,-0.0753378,0.315104
-0.696014,-0.000472402,0.000463366,0.00172072,0.290313,0.0269898,-0.0215539,-0.034887,0.294434
-0.726077,-0.00185233,-0.00173183,-0.00368587,0.430655,0.0872349,0.0450392,0.111645,0.455595
-0.657496,0.00167665,-9.80182e-05,-0.00482728,0.370809,-0.0206554,0.0312865,0.129197,0.394458
-0.628803,-0.00217922,-0.00111671,-0.00397418,0.271171,0.0576201,0.0406118,0.107342,0.300042
-0.636613,-0.000901229,-0.00129367,-0.00156338,0.122661,0.0721046,0.0462669,0.0687071,0.164639
-0.603452,-0.000204522,-0.00085896,-0.000897053,0.14585,-0.00719917,0.0433559,0.0214176,0.153826
-0.64592,0.000781783,0.00300238,-9.39788e-05,0.155671,-0.040508,-0.0720993,0.0219525,0.177636
-0.770734,0.00542886,0.0022106,-0.00178125,0.109904,-0.235797,-0.111642,0.0447723,0.286615
-0.656173,0.00904049,0.000480543,0.0023228,0.0885393,-0.271818,-0.0698024,-0.0660196,0.301588
-0.752371,0.00660259,-0.00277285,0.00147145,0.0347594,-0.172893,0.0565071,-0.0556262,0.193358
-0.7028,0.0035095,-0.00264127,0.00535107,0.146831,-0.164798,0.0727314,-0.188954,0.299519
-0.591757,0.00345095,-0.00279005,0.00279925,0.179054,-0.183908,0.0848282,-0.12958,0.299782
-0.522918,0.00476616,-0.000161728,0.00144878,0.202855,-0.207767,0.012018,-0.0598051,0.296712
-0.5599,0.00423033,-0.000718988,0.00310436,0.244301,-0.181754,0.0127693,-0.0939806,0.318924
-0.589807,0.0016649,-0.000524267,0.0020604,0.0256138,-0.0742083,0.0170385,-0.073689,0.109011
-0.610011,-0.000445645,-0.000444893,0.000965774,0.0110025,0.0325944,0.0196883,-0.0576025,0.0699223
-0.663003,0.00501828,-0.00389755,0.00320408,-0.0119156,-0.130042,0.135662,-0.099651,0.213044
-0.652192,0.00117199,-0.00463376,0.00250924,-0.0996159,-0.00995307,0.155253,-0.0757688,0.199667
-0.605678,0.000796445,-0.00346302,0.000270318,0.0360159,-0.0434546,0.114149,-0.00299149,0.127375
-0.654628,-0.000682356,-0.000207307,0.00119844,-0.0951228,-0.0171712,0.0411786,-0.00154109,0.105077
-0.639262,-0.00327947,-0.000398253,0.000509952,-0.0765042,0.109971,-0.0615632,0.0136217,0.148061
